,Rank,NCTId,BriefTitle,Condition,StudyType,EligibilityCriteria,EnrollmentCount,LocationCity,LocationCountry,LocationState,LocationZip,MinimumAge,MaximumAge,OverallStatus,Phase,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorAffiliation,LeadSponsorName,InterventionName,StartDate,CentralContactName
0,1,NCT04875351,Breast Cancer Index (BCI) Registry,Breast Cancer,Observational,"Inclusion Criteria:

Early stage (I, II or III) female breast cancer patients, who have completed 4-7 years of primary adjuvant endocrine therapy
Patient was diagnosed with invasive breast carcinoma (ductal, lobular, or mixed ductal/lobular).
The primary tumor was hormone receptor positive (HR+), i.e. estrogen receptor-positive and/or progesterone receptor-positive.
The primary tumor was HER2 negative or positive and node-negative or node-positive with 1-3 positive lymph nodes.
Subject has pre-treatment breast tumor tissue [formalin fixed and paraffin embedded (FFPE)] from a previous breast-conserving surgery, mastectomy or core needle biopsy available for testing by the Sponsor.

Exclusion Criteria:

Patient has distant metastatic disease (M1).
Patient was diagnosed with metaplastic breast cancer, carcinosarcoma, sarcoma, neuroendocrine carcinoma, adenoid cystic carcinoma, or phyllodes tumor.",3000,Daphne,United States,Alabama,36526,18 Years,,Recruiting,,,,"Biotheranostics, Inc.",Breast Cancer Index (BCI) Risk of Recurrence & Extended Endocrine Benefit Test,"April 14, 2021","Brandon N O'Neal, MS"
1,2,NCT03180086,Breast Cancer Risk Assessment in Women Aged 40-49,Breast Cancer,Interventional,"Inclusion Criteria:

women
aged 40-49 years
read and speak English
scheduled for a routine visit or physical examination with a non-resident PCP in the next 4-12 weeks at HealthCare Associates (HCA, BIDMC's outpatient primary care practice).

Exclusion Criteria:

women scheduled for acute care
women who had or will have a mammogram within 6 months of their PCP visit
women with a history of breast cancer or a BRCA mutation
women already receiving screening breast MRIs
women who have been referred to genetic counseling
women who have taken or are taking tamoxifen or aromatase inhibitors for breast cancer prevention
women with a history of an abnormal mammogram in the past two years
women with a history of breast enlargement or reduction.",338,Boston,United States,Massachusetts,02215,40 Years,49 Years,"Active, not recruiting",Not Applicable,Mara Schonberg,Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,Breast cancer risk report,"July 1, 2017",
2,3,NCT03662633,Diagnosis Value of SEMA4C in Breast Cancer,Breast Neoplasm Female,Observational,"Inclusion Criteria:

Receiving no treatment before diagnosis
Establishing Diagnosis according to biopsy or surgery

Exclusion Criteria:

Patients who are not mentally capable of giving written informed consent
Clinical data missing
Serum samples doesn't qualified
Patients with a diagnosis of other severe acute or chronic medical conditions that may interfere with the interpretation of the study results",2300,,,,,18 Years,80 Years,Not yet recruiting,,Qinglei Gao,Tongji Hospital,Tongji Hospital,Breast cancer group,"September 1, 2022","Qinglei Gao, MD, PhD"
3,4,NCT02493569,A Multicenter Study of Clinical Epidemiology of Breast Cancer in Shaanxi Province of China,Breast Cancer,Observational,"Inclusion Criteria:

Female patients;
The hospitalized patients who are confirmed of the primary breast cancer histologically;
The date of the inpatients are within the month we chosen;
Patients who are within the month we chosen have been received or under receiving the relevant treatment including surgical treatment, chemotherapy and radiotherapy.

Exclusion Criteria:

Male breast cancer patients;
Patients with breast cancer who are not under the chosen time;
Non hospitalized patients.",3000,,,,,,,Unknown status,,,,First Affiliated Hospital Xi'an Jiaotong University,The radical mastectomy of breast cancer,October 2016,"Yu Ren, MD,PhD"
4,5,NCT03598660,Role of Sorcin and Annexin A3 in Breast Cancer Patients,Breast Cancer,Observational,"Inclusion Criteria:

breast cancer patients before surgery who are admitted to the South Egypt Cancer Institute, Surgery Department, Assiut University

Exclusion Criteria:

• Patients with malignancies elsewhere in the body.

Patients with chronic cardiac diseases.
Getting neoadjuvant chemotherapy.
Renal disease.
Neurodegenerative disease.",80,,,,,20 Years,75 Years,Unknown status,,Reham I El-mahdy,Assiut University,Assiut University,Sorcin gene expression,"January 20, 2019",reham elmahdy
5,6,NCT04516330,Can MicroRNA's Predict Multicentricity in Breast Cancer?,Multicentric Breast Cancer,Interventional,"Inclusion Criteria:

Having breast cancer
Having no other malignancy
Female patient

Exclusion Criteria:

Having other malignancy
Under 18 years old
Male patient",57,Istanbul,Turkey,,34306,18 Years,70 Years,Completed,Not Applicable,Yeliz Emine Ersoy,Bezmialem Vakif University,Bezmialem Vakif University,miRNA,February 2014,
6,7,NCT04167605,Evaluation of Prognostic Factors: From Breast Cancer to Bone Metastases,Breast Cancer Metastatic,Observational,"Inclusion Criteria:

Adult women (≥ 18 years) candidates for excisional surgery and bone consolidation due to osteolytic bone metastases from breast cancer.
Female
Ability to understand the experimental study and willingness to sign the written consent

Exclusion Criteria:

- Retraction of written consent",30,Milan,Italy,,20161,18 Years,,Recruiting,,,,Istituto Ortopedico Galeazzi,Bone metastasis,"January 13, 2020","Paola Maroni, PhD"
7,8,NCT04495244,A Study to Identify Breast Cancer (IDBC),Breast Cancer Female,Observational,"Inclusion criteria

Aged 30-75 years
Normal breast examination - No cancer detected/suspected by physical exam, diagnostic radiology or screening mammography
Women with suspected Invasive Breast Cancer
Individuals with an abnormal or suspicious mammogram
Abnormal screening mammogram with suspected benign breast disease or proliferative changes

Exclusion criteria

Cancer diagnosis
Male
Breast surgery within the previous 12 months (for any reason) or recent breast biopsy (including needle core biopsy)
Previous history of any cancer
Concomitant or other concurrent anti-cancer therapy
Inoperable or inflammatory breast cancer",600,Manchester,United Kingdom,,M23 9LT,30 Years,75 Years,Recruiting,,,,Syantra Inc.,Syantra DX Breast Cancer,"January 24, 2019",Hayley Brooks
8,9,NCT03343691,Blood Test for Early Detection of Breast Cancer Using Todos Medical -Breast 1(TM-B1) Assay,Breast Cancer,Observational,"Inclusion Criteria:

Screening Population:

Subject signed the informed consent.
Subject is aged 25 years and older.
Subject is presenting for routine screening or diagnostic XRM and / or breast US.

Breast Cancer Population

Subject signed the informed consent form.
Subject is aged 25 years and older.
Subject was diagnosed with a malignant breast tumor, and has not yet started treatment.

Exclusion Criteria:

All Subjects:

Subject has been diagnosed with any type of malignancy apart from breast cancer.
Subject has been previously treated for breast cancer.
Subject underwent any surgery within the previous year (apart from benign nevus removal).
Subject was treated for benign tumor within the previous year (e.g. polyps or cysts).
Subject has an active infection or inflammation from any type of infection (bacterial or viral) as determined clinically at screening.
Subject is currently taking medications related directly to, or that can affect, the immune system such as steroids.
Subject has any type of active autoimmune disease such as lupus or rheumatoid arthritis.
Diagnostic drugs (e.g. contrast materials) were injected or given orally to subject within the last 7 days prior to sample collection for TM-B1 analysis.
Subject has been taking any investigational drug which influence her health status within 30 days prior to sample collection for TM-B1 analysis.
Subject is not feeling well at the time of blood collection for TM-B1 analysis due to suspected bacterial or viral infection or subject has symptoms such as high fever, diarrhea, headache, vomiting, dizziness etc.
Subject is pregnant, lactating, or undergoing fertility treatment.
Subject has participated in this study, in another cohort, and the TM-B1 test was performed.

Breast Cancer Population only:

The subject's tumor has been surgically removed before sample collection for TM-B1 analysis.",200,Rehovot,Israel,,76100,25 Years,,Unknown status,,,,"Todos Medical, Ltd.",Screening Population,"January 22, 2018","Udi Zelig, Ph.D."
9,10,NCT05082740,FH-Risk 2.0: Updating Breast Cancer Risk Estimates,Breast Cancer Risk,Observational,"Inclusion Criteria:

previously given informed consent to participate in the original FH-Risk study,
have an up to date clear mammogram,
still in follow up at the family history clinic,
aged between 25 and 60,
have not developed breast cancer and,
have the capacity to consent.

Exclusion Criteria:

women who have received a diagnosis of breast cancer,
women who have not had a clear mammogram,
women who have been discharged from the family history clinic,
women who took part in the original FH-Risk study but did not consent for their data to be used in future research and,
women who lack the capacity to consent.",271,Manchester,United Kingdom,Greater Manchester,M23 9QZ,25 Years,60 Years,Not yet recruiting,,Victoria Woof,University of Manchester,University of Manchester,Notification of a revised breast cancer risk estimate,October 2021,Victoria Woof
